,id,degree
0,54324142,13
1,17939037,28
2,20224976,32
3,18720204,20
4,8254982,20
5,8295072,22
6,21420959,25
7,8255122,31
8,37899236,10
9,15389776,19
10,15987295,28
11,77198677,22
12,19834854,5
13,5899432,7
14,3779381,25
15,20783678,8
16,4620451,24
17,19655985,28
18,124444856,16
19,5940892,5
20,78701122,18
21,15848541,20
22,25843787,21
23,46947488,14
24,6408382,24
25,25066853,23
26,42950930,33
27,15234407,18
28,14936377,26
29,88966020,9
30,21210048,16
31,34960648,20
32,23959074,20
33,10379542,38
34,15820660,29
35,21436960,26
36,25391676,14
37,20631142,7
38,16434310,29
39,87899230,18
40,17781165,16
41,19242105,34
42,35718360,20
43,11348282,25
44,5941002,6
45,21442019,18
46,5898772,14
47,5940932,6
48,253577097,9
49,19060857,16
50,82853372,27
51,50645351,20
52,23948715,4
53,5899172,13
54,64623745,5
55,16475403,17
56,20670636,3
57,5899802,10
58,16583577,6
59,5940972,5
60,64818746,2
61,14711491,8
62,8719812,2
63,38201262,1
